Action Required,SKU number,Product Barcode,Product Title (ENGLISH),Product Title (MALAY),Product Title (CHINESE),Brand (EN),Manufacturer / Principal (EN),Image URL (Google Drive Link),Product Price (RM),Limit on Item per checkout,Child Category (EN),Is Active?,Tags,Product Description (EN),Product Description (MY),Product Description (CN),,,,,,,,,,
Add New Item,101020002,9555589212142,COCA COLA KLASIK 320ML,,,COCA COLA,COCA COLA,,1.80,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020007,9555589200514,COCA COLA LIGHT 320ML,,,COCA COLA,COCA COLA,,2.00,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020008,9555589200620,COCA COLA VANILA 320ML,,,COCA COLA,COCA COLA,,2.00,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020009,8888002087005,COCA COLA NO SUGAR 320ML,,,COCA COLA,COCA COLA,,1.90,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020867,9556570009345,EST COLA 1.5L,,,COCA COLA,COCA COLA,,2.50,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101020020,9555589200392,COCA COLA 500ML,,,COCA COLA,COCA COLA,,2.40,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101040098,9555589212234,COCA COLA VANILA 250ML,,,COCA COLA,COCA COLA,,1.00,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101040100,9555589212210,COCA COLA KLASIK 250ML,,,COCA COLA,COCA COLA,,1.00,,Beverages > Soft Drinks > Carbonated Drinks,1,,,,,,,,,,,,,,
Add New Item,101030002,9557727930079,GOODDAY LOW FAT MILK 200ML,,,GOODDAY,GOODDAY,,1.80,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101030003,9557727930062,GOODDAY FULL CREAM MILK 200ML,,,GOODDAY,GOODDAY,,1.80,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101030004,9557727930093,GOODDAY CHOCOLATE MILK 200ML,,,GOODDAY,GOODDAY,,1.80,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101020061,9557727930086,GOODDAY STRAWBERRY MILK 200ML,,,GOODDAY,GOODDAY,,1.80,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101020054,9557727930017,GOODDAY FULL CREAM MILK 1L,,,GOODDAY,GOODDAY,,7.10,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101020055,9557727930024,GOODDAY LOW FAT MILK 1L,,,GOODDAY,GOODDAY,,7.11,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101020053,9557727930048,GOODDAY CHOCOLATE MILK 1L,,,GOODDAY,GOODDAY,,7.11,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101031014,9557727930031,GOODDAY STRAWBERRY MILK 1L,,,GOODDAY,GOODDAY,,7.11,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,1010020035,9555487800342,FARM FRESH FULL CREAM MILK 1L,,,FARM FRESH ,FARM FRESH ,,6.30,,Dairy & Chilled > UHT & Packaged Milk,1,,,,,,,,,,,,,,
Add New Item,101090015,9555487801028,FARM FRESH YOGURT MANGO 200ML,,,FARM FRESH ,FARM FRESH ,,2.69,,Dairy & Chilled > Yogurt,1,,,,,,,,,,,,,,
Add New Item,101090016,9555487801035,FARM FRESH YOGURT MIX BERRIES 200ML,,,FARM FRESH ,FARM FRESH ,,2.69,,Dairy & Chilled > Yogurt,1,,,,,,,,,,,,,,
